MOUSE_GENE_SYM	HUMAN_GENE_SYM
Pafah1b1	PAFAH1B1
Mvk	MVK
Ncf2	NCF2
Neu1	NEU1
Notch3	NOTCH3
Oxct1	OXCT1
Pcsk1	PCSK1
Pde6a	PDE6A
Plec	PLEC
Pon2	PON2
Psen2	PSEN2
Rag1	RAG1
Sele	SELE
Slc10a2	SLC10A2
Sod1	SOD1
Stk11	STK11
Suox	SUOX
Hnf4a	HNF4A
Hnf1b	HNF1B
Tek	TEK
Thpo	THPO
Bard1	BARD1
Twist1	TWIST1
Nr0b1	NR0B1
Alb	ALB
Ampd3	AMPD3
Amt	AMT
Aprt	APRT
Atrx	ATRX
Avp	AVP
C1qb	C1QB
Crybb2	CRYBB2
F12	F12
F2	F2
Fga	FGA
Fgg	FGG
Fshb	FSHB
Gdnf	GDNF
Hexb	HEXB
Kcnj11	KCNJ11
Vldlr	VLDLR
Mc2r	MC2R
Mpz	MPZ
Otc	OTC
Pccb	PCCB
Plp1	PLP1
Pms1	PMS1
Rfxap	RFXAP
Sag	SAG
Sftpb	SFTPB
Smpd1	SMPD1
Hnf1a	HNF1A
Trp53	TP53
Tpo	TPO
Tsc2	TSC2
Tshb	TSHB
Tyrp1	TYRP1
Vhl	VHL
Vwf	VWF
Crx	CRX
Gdf5	GDF5
C8a	C8A
Il5ra	IL5RA
Il6ra	IL6R
Fcgr1	FCGR1A
Il10	IL10
Il1a	IL1A
Il1b	IL1B
Gc	GC
Il15	IL15
Il2	IL2
C7	C7
Il4	IL4
Il9	IL9
Cd14	CD14
Tap1	TAP1
Tnf	TNF
Lta	LTA
Igfbp1	IGFBP1
Igfbp2	IGFBP2
Igfbp3	IGFBP3
Il6	IL6
Hgf	HGF
Nos3	NOS3
C8g	C8G
Cd44	CD44
Igf2	IGF2
Hpx	HPX
Cd4	CD4
Igf1	IGF1
Bdkrb2	BDKRB2
Cd79b	CD79B
Ltbp1	LTBP1
Il10rb	IL10RB
Ifnar1	IFNAR1
Ncf4	NCF4
Itgam	ITGAM
Bcl2	BCL2
Sod2	SOD2
Gsr	GSR
Vtn	VTN
Fasl	FASLG
Il13ra2	IL13RA2
Il11	IL11
Agl	AGL
Ccr2	CCR2
Sell	SELL
Tgfb1	TGFB1
Abat	ABAT
Ache	ACHE
Adora3	ADORA3
Adra1d	ADRA1D
Adra2b	ADRA2B
Ahcy	AHCY
Alox12	ALOX12
Alox5	ALOX5
Anxa1	ANXA1
Atp1a1	ATP1A1
Avpr1a	AVPR1A
Bckdha	BCKDHA
Bdkrb1	BDKRB1
Blvra	BLVRA
Blvrb	BLVRB
Tspo	TSPO
Cacna1d	CACNA1D
Cacna2d1	CACNA2D1
Cacng1	CACNG1
Cck	CCK
Cd3d	CD3D
Cd3e	CD3E
Cga	CGA
Chrna3	CHRNA3
Chrna4	CHRNA4
Chrna7	CHRNA7
Chrnb1	CHRNB1
Chrnb2	CHRNB2
Crat	CRAT
Crh	CRH
Csf2	CSF2
Csf3r	CSF3R
Dbh	DBH
Dck	DCK
Ddc	DDC
Dio1	DIO1
Dio2	DIO2
Drd3	DRD3
Epo	EPO
Fgf1	FGF1
Folr2	FOLR2
Gast	GAST
Gabra1	GABRA1
Gabra4	GABRA4
Gabrb3	GABRB3
Gad1	GAD1
Gart	GART
Gas6	GAS6
Ggcx	GGCX
Ghrhr	GHRHR
Gnrh1	GNRH1
Grin2a	GRIN2A
Grin2b	GRIN2B
Grin2c	GRIN2C
Grin2d	GRIN2D
Grm1	GRM1
Grm3	GRM3
Grm8	GRM8
Gstm5	GSTM3
Gucy1b1	GUCY1B1
Guk1	GUK1
Hrh1	HRH1
Htr1b	HTR1B
Htr3a	HTR3A
Htr6	HTR6
Icam2	ICAM2
Igf2r	IGF2R
Il1r1	IL1R1
Il5	IL5
Il7	IL7
Il12a	IL12A
Itgb6	ITGB6
Kitl	KITLG
Mgp	MGP
Nqo1	NQO1
Nqo2	NQO2
Npy	NPY
Npr3	NPR3
Npy1r	NPY1R
Npy2r	NPY2R
Pde3a	PDE3A
Pde3b	PDE3B
Pdhb	PDHB
Pgr	PGR
Pla2g1b	PLA2G1B
Pla2g5	PLA2G5
Plat	PLAT
Serpinf2	SERPINF2
Polr2a	POLR2A
Polr2b	POLR2B
Pomc	POMC
Por	POR
Ppib	PPIB
Ppic	PPIC
Prim1	PRIM1
Prim2	PRIM2
Prl	PRL
Prlr	PRLR
Prrg1	PRRG1
Prrg2	PRRG2
Ptgdr	PTGDR
Ptgds	PTGDS
Ptger1	PTGER1
Ptger2	PTGER2
Ptgfr	PTGFR
Ptgs1	PTGS1
Rpl3	RPL3
Rpl4	RPL4
Rpl18	RPL18
Rpl24	RPL24
Rpl30	RPL30
Rpl28	RPL28
Rps3	RPS3
Rps5	RPS5
Rps10	RPS10
Rps16	RPS16
Rps23	RPS23
Rrm1	RRM1
Scn1b	SCN1B
Scnn1a	SCNN1A
Shbg	SHBG
Slc6a2	SLC6A2
Slc6a4	SLC6A4
Sst	SST
Sstr1	SSTR1
Tacr3	TACR3
Tbxa2r	TBXA2R
Tnfrsf1a	TNFRSF1A
Tnfrsf1b	TNFRSF1B
Top2a	TOP2A
Tubg1	TUBG1
Tyms	TYMS
Vcam1	VCAM1
Zap70	ZAP70
Aldh5a1	ALDH5A1
Pde5a	PDE5A
Plod3	PLOD3
Aamp	AAMP
Abcf1	ABCF1
Acly	ACLY
Acr	ACR
Aco2	ACO2
Acvr2b	ACVR2B
Adam10	ADAM10
Adcy7	ADCY7
Adcy9	ADCY9
Adcyap1	ADCYAP1
Adcyap1r1	ADCYAP1R1
Mfsd10	MFSD10
Plin2	PLIN2
Adm	ADM
Adprh	ADPRH
Adss	ADSS2
Aebp1	AEBP1
Tle5	TLE5
Afm	AFM
Ager	AGER
Alox12b	ALOX12B
Alox8	ALOX15B
Amfr	AMFR
Nudt2	NUDT2
Apba1	APBA1
Apbb1	APBB1
Birc3	BIRC3
Birc2	BIRC2
Xiap	XIAP
Arg2	ARG2
Arhgap5	ARHGAP5
Arhgdia	ARHGDIA
Arntl	ARNTL
Art3	ART3
Asgr2	ASGR2
Aldh7a1	ALDH7A1
Atp6ap1	ATP6AP1
Azgp1	AZGP1
Bach1	BACH1
Bak1	BAK1
Tnfrsf17	TNFRSF17
Bfsp1	BFSP1
Bid	BID
Bik	BIK
Prdm1	PRDM1
Bmp2	BMP2
Bmp3	BMP3
Bmpr2	BMPR2
Bnip1	BNIP1
Klf9	KLF9
Bub1b	BUB1B
Calu	CALU
Cav2	CAV2
Ccnh	CCNH
Ccnt1	CCNT1
Tnfrsf8	TNFRSF8
Tnfsf8	TNFSF8
Cd40	CD40
Cd68	CD68
Cd70	CD70
Cdc27	CDC27
Cdk6	CDK6
Cdkn2c	CDKN2C
Cdx2	CDX2
Rcbtb2	RCBTB2
Chek1	CHEK1
Chga	CHGA
Chuk	CHUK
Cirbp	CIRBP
Tbcb	TBCB
Clca1	CLCA1
Clcn6	CLCN6
Clic5	CLIC5
Ldb2	LDB2
Clns1a	CLNS1A
Ackr2	ACKR2
Cnga3	CNGA3
Cnn1	CNN1
Klf6	KLF6
Cort	CORT
Cpd	CPD
Cldn4	CLDN4
Cldn3	CLDN3
Cpn1	CPN1
Crebl2	CREBL2
Cse1l	CSE1L
Cst6	CST6
Cstf1	CSTF1
Cstf3	CSTF3
Ctbp1	CTBP1
Ctf1	CTF1
Ctnnd1	CTNND1
Ctso	CTSO
Ctsz	CTSZ
Cxadr	CXADR
Dab2	DAB2
Dad1	DAD1
Dgka	DGKA
Dgkg	DGKG
Dars	DARS1
Daxx	DAXX
Dbp	DBP
Ddt	DDT
Dhx9	DHX9
Dhx15	DHX15
Dhcr7	DHCR7
Dhodh	DHODH
Dio3	DIO3
Dkc1	DKC1
Dlg2	DLG2
Dlg4	DLG4
Dnah5	DNAH5
Dnah8	DNAH8
Dnase2b	DNASE2B
Dync1h1	DYNC1H1
Dok1	DOK1
Dpagt1	DPAGT1
Dph1	DPH1
Dph2	DPH2
Drg2	DRG2
Ecm2	ECM2
Dusp4	DUSP4
Dusp9	DUSP9
Ece1	ECE1
Ech1	ECH1
S1pr1	S1PR1
Lpar1	LPAR1
Efna2	EFNA2
Efnb3	EFNB3
Celsr3	CELSR3
Celsr2	CELSR2
Eif2b1	EIF2B1
Emp1	EMP1
Emp2	EMP2
Emp3	EMP3
Ep300	EP300
Epas1	EPAS1
Ereg	EREG
Fbl	FBL
Esr2	ESR2
Extl2	EXTL2
Extl3	EXTL3
Fabp1	FABP1
Fabp6	FABP6
Fat2	FAT2
Foxf1	FOXF1
Foxf2	FOXF2
Foxj1	FOXJ1
Flna	FLNA
Frzb	FRZB
Adam2	ADAM2
Gabbr1	GABBR1
B4galnt1	B4GALNT1
Gas8	GAS8
Gatm	GATM
Nipsnap2	NIPSNAP2
Gbx2	GBX2
Gckr	GCKR
Bloc1s1	BLOC1S1
Gfra2	GFRA2
Gfra3	GFRA3
Gclc	GCLC
Gpld1	GPLD1
Cxcr3	CXCR3
Gpx5	GPX5
Gtf2b	GTF2B
Gtf2h2	GTF2H2
Gtf2h3	GTF2H3
Brf1	BRF1
Has1	HAS1
Hcrt	HCRT
Hcrtr2	HCRTR2
Hgfac	HGFAC
Hif1a	HIF1A
Hnrnpl	HNRNPL
Hspb1	HSPB1
Igsf3	IGSF3
Mrpl58	MRPL58
Id4	ID4
Ifit2	IFIT2
Igfbp4	IGFBP4
Igfbp7	IGFBP7
Ccn1	CCN1
Igsf1	IGSF1
Il10ra	IL10RA
Il12rb2	IL12RB2
Il13ra1	IL13RA1
Tnfrsf9	TNFRSF9
Il18	IL18
Impg1	IMPG1
Cxcl10	CXCL10
Inppl1	INPPL1
Eif3e	EIF3E
Irak2	IRAK2
Irf3	IRF3
Pax6	PAX6
Aars	AARS1
Acadsb	ACADSB
Acp2	ACP2
Acrv1	ACRV1
Add2	ADD2
Parp1	PARP1
Grk2	GRK2
Ahr	AHR
Ahsg	AHSG
Aif1	AIF1
Ak2	AK2
Alcam	ALCAM
Alox5ap	ALOX5AP
Ambp	AMBP
Aoah	AOAH
Apeh	APEH
Apex1	APEX1
Apoa2	APOA2
Apobec1	APOBEC1
Apoc4	APOC4
Apod	APOD
Araf	ARAF
Arcn1	ARCN1
Trim23	TRIM23
Areg	AREG
Arl4d	ARL4D
Arf6	ARF6
Arl2	ARL2
Arnt	ARNT
Asgr1	ASGR1
a	ASIP
Atf3	ATF3
Atf4	ATF4
Atp5j	ATP5PF
Atp5b	ATP5F1B
Atp5pb	ATP5PB
Atp6v1b2	ATP6V1B2
Atp6v1c1	ATP6V1C1
Atp6v1e1	ATP6V1E1
Atp5o	ATP5PO
Auh	AUH
Baat	BAAT
Adgrb1	ADGRB1
Adgrb2	ADGRB2
Adgrb3	ADGRB3
Bcl7b	BCL7B
Opn1sw	OPN1SW
Cfb	CFB
Bgn	BGN
Bhmt	BHMT
Blk	BLK
Cxcr5	CXCR5
Bmp6	BMP6
Tec	TEC
Polr3d	POLR3D
Brs3	BRS3
Bsg	BSG
Btc	BTC
Btn1a1	BTN1A1
Calb2	CALB2
Calcr	CALCR
Caml	CAMLG
Canx	CANX
Capn2	CAPN2
Capns1	CAPNS1
Cars	CARS1
Cav1	CAV1
Runx1	RUNX1
Ccnd1	CCND1
Ccnf	CCNF
Cct6a	CCT6A
Cd1d1	CD1D
Cd2	CD2
Cd19	CD19
Cd34	CD34
Cd38	CD38
Cd47	CD47
Cd48	CD48
Cd72	CD72
Cda	CDA
Sept7	SEPTIN7
Cdc25a	CDC25A
Cdc25c	CDC25C
Cdh5	CDH5
Cdh11	CDH11
Cdk7	CDK7
Cdo1	CDO1
Cdx1	CDX1
Cebpe	CEBPE
Cebpg	CEBPG
Cenpa	CENPA
Cenpb	CENPB
Cenpc1	CENPC
Ctsc	CTSC
Chgb	CHGB
Clu	CLU
Clps	CLPS
Clta	CLTA
Ccr7	CCR7
Cnr2	CNR2
Col4a2	COL4A2
Col6a1	COL6A1
Col6a2	COL6A2
Col9a1	COL9A1
Col15a1	COL15A1
Col16a1	COL16A1
Slc31a1	SLC31A1
Cox7b	COX7B
Cad	CAD
Cpt1a	CPT1A
Crabp2	CRABP2
Crhbp	CRHBP
Hapln1	HAPLN1
Cryba4	CRYBA4
Crybb1	CRYBB1
Crym	CRYM
Csn2	CSN2
Ccn2	CCN2
Cth	CTH
Ctnna1	CTNNA1
Ctnnb1	CTNNB1
Dbt	DBT
Dct	DCT
Ddb1	DDB1
Gadd45a	GADD45A
Dhps	DHPS
Mpp7	MPP7
Dlst	DLST
Dpt	DPT
Atn1	ATN1
Dsc3	DSC3
Dsg2	DSG2
Hbegf	HBEGF
Dusp7	DUSP7
E2f4	E2F4
E2f5	E2F5
E2f6	E2F6
Tymp	TYMP
Edn1	EDN1
Edn2	EDN2
Ednra	EDNRA
Eef1b2	EEF1B2
Efna5	EFNA5
Egf	EGF
Egr4	EGR4
Ehhadh	EHHADH
Eif4a2	EIF4A2
Eif5a2	EIF5A2
Elk4	ELK4
Adgre1	ADGRE1
Dmtn	DMTN
Ercc1	ERCC1
Etfb	ETFB
Etv4	ETV4
Evpl	EVPL
Evx1	EVX1
Eya3	EYA3
F2r	F2R
F3	F3
F13b	F13B
Fbln2	FBLN2
Fbn2	FBN2
Fcer1a	FCER1A
Fcer2a	FCER2
Fcnb	FCN1
Fdps	FDPS
Fgf2	FGF2
Fgf4	FGF4
Fgf9	FGF9
Fkbp3	FKBP3
Foxo1	FOXO1
Fmod	FMOD
Fmr1	FMR1
Fn1	FN1
Fnta	FNTA
Fntb	FNTB
Fut4	FUT4
Kdsr	KDSR
Gab1	GAB1
Gabpa	GABPA
Gap43	GAP43
Gars	GARS1
Gas1	GAS1
Gata1	GATA1
Gata3	GATA3
Gata4	GATA4
Gfap	GFAP
Gja4	GJA4
Gclm	GCLM
Glp1r	GLP1R
Gna15	GNA15
Gnaq	GNAQ
Gns	GNS
Got1	GOT1
Got2	GOT2
Grb2	GRB2
Grn	GRN
Grik5	GRIK5
Grp	GRP
Gtf2f1	GTF2F1
Guca1b	GUCA1B
Hars	HARS1
Htt	HTT
Hivep1	HIVEP1
H2-Oa	HLA-DOA
H2-Ob	HLA-DOB
H2-Ab1	HLA-DQB1
Hmgcs1	HMGCS1
Hmox2	HMOX2
Nr4a1	NR4A1
Hoxb1	HOXB1
Hoxb3	HOXB3
Hoxd10	HOXD10
Hpd	HPD
Hspa4	HSPA4
Hspd1	HSPD1
Irf8	IRF8
Id1	ID1
Id2	ID2
Id3	ID3
Ifnb1	IFNB1
Igfbp6	IGFBP6
Ighmbp2	IGHMBP2
Il1rap	IL1RAP
Il6st	IL6ST
Il7r	IL7R
Il12b	IL12B
Il13	IL13
Il15ra	IL15RA
Il17a	IL17A
Inha	INHA
Inhba	INHBA
Inhbb	INHBB
Inpp1	INPP1
Aco1	ACO1
Irf1	IRF1
Irf2	IRF2
Isl1	ISL1
Itga2	ITGA2
Itga9	ITGA9
Itgal	ITGAL
Itih1	ITIH1
Itih2	ITIH2
Itih3	ITIH3
Itih4	ITIH4
Itpka	ITPKA
Itpkb	ITPKB
Itpr1	ITPR1
Itpr3	ITPR3
Ivd	IVD
Jag2	JAG2
Jak1	JAK1
Jun	JUN
Jup	JUP
Kcna5	KCNA5
Kcna6	KCNA6
Kcnj3	KCNJ3
Kcnj6	KCNJ6
Kcnj10	KCNJ10
Kcnj15	KCNJ15
Kcnk1	KCNK1
Kcnk3	KCNK3
Kcnma1	KCNMA1
Kcnn4	KCNN4
Kiss1	KISS1
Klrd1	KLRD1
Kpnb1	KPNB1
Kpna2	KPNA2
Ipo5	IPO5
Krt15	KRT15
Krt19	KRT19
Krt35	KRT35
Krt86	KRT86
Aff3	AFF3
Lag3	LAG3
Lalba	LALBA
Lamb1	LAMB1
Lamb2	LAMB2
Lamc1	LAMC1
Lect2	LECT2
Lepr	LEPR
Lif	LIF
Lifr	LIFR
Lig4	LIG4
Limk1	LIMK1
Lox	LOX
Loxl2	LOXL2
Lrp1	LRP1
Lrp3	LRP3
Lrp5	LRP5
Lrp6	LRP6
Lsp1	LSP1
Ltb	LTB
Ltbr	LTBR
Ltf	LTF
Ly6h	LY6H
Ly9	LY9
Sh2d1a	SH2D1A
Tacstd2	TACSTD2
Epcam	EPCAM
Mxd1	MXD1
Mad2l1	MAD2L1
Mafk	MAFK
Mag	MAG
Magoh	MAGOH
Man2a1	MAN2A1
Map1a	MAP1A
Map2	MAP2
Map4	MAP4
Mas1	MAS1
Matn1	MATN1
Matn3	MATN3
Max	MAX
Mbp	MBP
Mc1r	MC1R
Mcm3	MCM3
Mdk	MDK
Mdm2	MDM2
Mdm4	MDM4
Slc3a2	SLC3A2
Mest	MEST
Mfap2	MFAP2
Mfng	MFNG
Mgat1	MGAT1
Mgat2	MGAT2
Mgat5	MGAT5
Mgst2	MGST2
Mki67	MKI67
Mmp19	MMP19
Mnat1	MNAT1
Mpg	MPG
Mpi	MPI
Mpp1	MPP1
Msh3	MSH3
Msh4	MSH4
Msmb	MSMB
Msn	MSN
Map3k10	MAP3K10
Mst1r	MST1R
Msx1	MSX1
Msx2	MSX2
Mtap	MTAP
Nudt1	NUDT1
Mtif2	MTIF2
Irf4	IRF4
Mvd	MVD
Mybpc1	MYBPC1
Mybl2	MYBL2
Myd88	MYD88
Myf6	MYF6
Myog	MYOG
Ppp1r12a	PPP1R12A
Nubp1	NUBP1
Nbn	NBN
Ncbp1	NCBP1
Ndufa6	NDUFA6
Ndufb6	NDUFB6
Ndufc1	NDUFC1
Ndufs4	NDUFS4
Ndufs8	NDUFS8
Nek3	NEK3
Neo1	NEO1
Neurod1	NEUROD1
Nfix	NFIX
Nfkb2	NFKB2
Nfx1	NFX1
Ngf	NGF
Ngfr	NGFR
Nid1	NID1
Nkx2-2	NKX2-2
Gpnmb	GPNMB
Ccn3	CCN3
Npas1	NPAS1
Npas2	NPAS2
Npat	NPAT
Nptx1	NPTX1
Nptx2	NPTX2
Nt5e	NT5E
Ntf3	NTF3
Nthl1	NTHL1
Ntrk1	NTRK1
Nup88	NUP88
Nvl	NVL
Ocln	OCLN
Odc1	ODC1
Odf2	ODF2
Ogg1	OGG1
Olr1	OLR1
Tnfrsf11b	TNFRSF11B
Ophn1	OPHN1
Olfr402	OR3A1
Slc22a18	SLC22A18
P2rx1	P2RX1
P2rx3	P2RX3
P2rx4	P2RX4
P2rx5	P2RX5
P2rx7	P2RX7
P2ry1	P2RY1
P2ry2	P2RY2
Furin	FURIN
Pafah1b2	PAFAH1B2
Pafah1b3	PAFAH1B3
Pak1	PAK1
Palm	PALM
Pawr	PAWR
Pcdh8	PCDH8
Pck1	PCK1
Pcna	PCNA
Pcolce	PCOLCE
Cdk18	CDK18
Pdc	PDC
Pdcd2	PDCD2
Pde2a	PDE2A
Pde4b	PDE4B
Pde6d	PDE6D
Pde6g	PDE6G
Pde7a	PDE7A
Pde8a	PDE8A
Pdgfrb	PDGFRB
Pdzk1	PDZK1
Serpinf1	SERPINF1
Per1	PER1
Pex13	PEX13
Cfp	CFP
Pfdn5	PFDN5
Pfn2	PFN2
Pgf	PGF
Pgm1	PGM1
Phb	PHB
Phka1	PHKA1
Piga	PIGA
Pigr	PIGR
Pik3c3	PIK3C3
Pip	PIP
Plag1	PLAG1
Plagl2	PLAGL2
Plcg1	PLCG1
Plek	PLEK
Plin1	PLIN1
Plp2	PLP2
Plrg1	PLRG1
Polb	POLB
Pold1	POLD1
Pole2	POLE2
Polg	POLG
Polr2c	POLR2C
Polr2e	POLR2E
Polr2g	POLR2G
Pou4f3	POU4F3
Ppl	PPL
Ppm1b	PPM1B
Ppp1r7	PPP1R7
Ppp1r10	PPP1R10
Ppp2r2a	PPP2R2A
Ppp4c	PPP4C
Ppy	PPY
Prelp	PRELP
Prep	PREP
Prg2	PRG2
Pkn2	PKN2
Prkd3	PRKD3
Prkcsh	PRKCSH
Mapk4	MAPK4
Mapk7	MAPK7
Map2k1	MAP2K1
Prox1	PROX1
Prpsap2	PRPSAP2
Tmprss15	TMPRSS15
Psma1	PSMA1
Psma2	PSMA2
Psma3	PSMA3
Psma4	PSMA4
Psma5	PSMA5
Psma6	PSMA6
Psma8	PSMA8
Psmb1	PSMB1
Psmb2	PSMB2
Psmb3	PSMB3
Psmb4	PSMB4
Psmb6	PSMB6
Psmb7	PSMB7
Psmb9	PSMB9
Psmc1	PSMC1
Psmc2	PSMC2
Psmc3	PSMC3
Psmc5	PSMC5
Psmd1	PSMD1
Psmd2	PSMD2
Psmd3	PSMD3
Psmd7	PSMD7
Psmd9	PSMD9
Psmd11	PSMD11
Psmd12	PSMD12
Psmd13	PSMD13
Psme3	PSME3
Pthlh	PTHLH
Ptn	PTN
Ptpn1	PTPN1
Ptpn4	PTPN4
Ptpn9	PTPN9
Ptpn11	PTPN11
Ptprb	PTPRB
Ptprc	PTPRC
Ptprg	PTPRG
Ptprj	PTPRJ
Ptprn2	PTPRN2
Ptprr	PTPRR
Ptprz1	PTPRZ1
Pvalb	PVALB
Nectin1	NECTIN1
Abcd3	ABCD3
Aldh18a1	ALDH18A1
Pcyt2	PCYT2
Pygm	PYGM
Rab3b	RAB3B
Rad51	RAD51
Rad51d	RAD51D
Rap1a	RAP1A
Rap1gap	RAP1GAP
Rarres1	RARRES1
Rarres2	RARRES2
Rasa1	RASA1
Rasgrf2	RASGRF2
Rbl1	RBL1
Rbp1	RBP1
Rcn2	RCN2
Rcvrn	RCVRN
Rdh5	RDH5
Nf2	NF2
Rel	REL
Renbp	RENBP
Upf1	UPF1
Rfc1	RFC1
Rfc3	RFC3
Rfx1	RFX1
Rgs1	RGS1
Rgs2	RGS2
Rgs7	RGS7
Rgs12	RGS12
Rgs16	RGS16
Grk1	GRK1
Rit2	RIT2
Rnf2	RNF2
Rnaseh1	RNASEH1
Rnh1	RNH1
Abce1	ABCE1
Robo1	ROBO1
Ros1	ROS1
Rpa1	RPA1
Mrpl12	MRPL12
Rpn1	RPN1
Rpn2	RPN2
Rreb1	RREB1
Rxra	RXRA
S100a3	S100A3
S100a5	S100A5
S100a8	S100A8
S100a9	S100A9
S100a10	S100A10
Safb	SAFB
Sall1	SALL1
Satb1	SATB1
Atxn2	ATXN2
Clec11a	CLEC11A
Scn9a	SCN9A
Ccl2	CCL13
Ccl3	CCL3L3
Ccl5	CCL5
Ccl12	CCL2
Ccl17	CCL17
Ccl24	CCL24
Xcl1	XCL1
Cx3cl1	CX3CL1
Sdc1	SDC1
Sdc2	SDC2
Sdhb	SDHB
Sdhc	SDHC
Selp	SELP
Selplg	SELPLG
Selenow	SELENOW
Sfrp1	SFRP1
Sfrp4	SFRP4
Sfrp5	SFRP5
Sftpc	SFTPC
Sftpd	SFTPD
Sh3bgrl	SH3BGRL
Sh3bp2	SH3BP2
Itsn1	ITSN1
St6gal1	ST6GAL1
St8sia1	ST8SIA1
Stil	STIL
Slc5a2	SLC5A2
Slc6a1	SLC6A1
Slc6a6	SLC6A6
Slc34a2	SLC34A2
Slc18a2	SLC18A2
Slit1	SLIT1
Slit3	SLIT3
Slpi	SLPI
Smarca2	SMARCA2
Smarcb1	SMARCB1
Smarcc2	SMARCC2
Smarcd3	SMARCD3
Snapc1	SNAPC1
Snapc2	SNAPC2
Sncb	SNCB
Snapc4	SNAPC4
Sncg	SNCG
Snrpa1	SNRPA1
Snta1	SNTA1
Snx2	SNX2
Soat1	SOAT1
Sod3	SOD3
Sorl1	SORL1
Sox4	SOX4
Sp2	SP2
Sp4	SP4
Uap1	UAP1
